name;alias;description;group_type;department;group_id;sku;unit;price;VAT;purchase_price;available;reserved;last_reserved_at
TCI ( трансцервикальное внутриматочное оплодотворение) (2019);;;Услуги платные;Хирургия;Хирургия;49465;1 голова;1525;;;0.00;0.00;
Медикаментозное прерывание беременности кошке (2019);;;Услуги платные;Хирургия;Хирургия;49465;1 голова;610;;;0.00;0.00;
Вагинальная диагностика;;;Услуги платные;Хирургия;Хирургия;494617;1 голова;675;;;0.00;0.00;
Вагиноскопия кошки,собаки мелких пород (до 10 кг);;;Услуги платные;Хирургия;Хирургия;48680;1 голова;2055;;;0.00;0.00;
Вагиноскопия собаки крупных пород (более 30 кг);;;Услуги платные;Хирургия;Хирургия;48682;1 голова;3060;;;0.00;0.00;
Взятие спермы;;;Услуги платные;Хирургия;Хирургия;49468;1 процедура;450;;;0.00;0.00;
Вскрытие (удаление) ретеционной кисты;;;Услуги платные;Хирургия;Хирургия;4848;1 голова;420;;;0.00;0.00;
Диагностическая лапароскопия собаки крупных пород (более 30 кг);;;Услуги платные;Хирургия;Хирургия;48685;1 голова;7125;;;0.00;0.00;
Интубация трахеи;;;Услуги платные;Хирургия;Хирургия;4757;1 голова;180;;;0.00;0.00;
Ингаляционная анестезия. Пациентам 4 класса по степени анестезиологического риска;;;Услуги платные;Хирургия;Хирургия;4757;1 голова;4000;;;0.00;0.00;
Колоноскопия кошки,собаки мелких пород (до 10 кг);;;Услуги платные;Хирургия;Хирургия;48674;1 голова;3000;;;0.00;0.00;
Колоноскопия собаки крупных пород (более 30 кг);;;Услуги платные;Хирургия;Хирургия;48676;1 голова;5000;;;0.00;0.00;
Колоноскопия собаки средних пород (от 11 до 30кг);;;Услуги платные;Хирургия;Хирургия;48675;1 голова;4000;;;0.00;0.00;
Лапароскопическая овариоэктомия (гистерэктомия)  кошки,собаки мелких пород (до 10 кг);;;Услуги платные;Хирургия;Хирургия;48687;1 голова;6000;;;0.00;0.00;
Лапароскопически ассистированные операции на брюшной полости кошки,собаки мелких пород (до 10 кг);;;Услуги платные;Хирургия;Хирургия;48696;1 голова;6150;;;0.00;0.00;
Орхитексия (2019);;;Услуги платные;Хирургия;Хирургия;49403;1 голова;5085;;;0.00;0.00;
Приготовление охлажденного семени (взятие,спермограмма со стоимостью экстендера);;;Услуги платные;Хирургия;Хирургия;49469;1 процедура;815;;;0.00;0.00;
Пункция лимфоэкстравазата;;;Услуги платные;Хирургия;Хирургия;4864;1 голова;210;;;0.00;0.00;
Развернутая спермограмма;;;Услуги платные;Хирургия;Хирургия;494612;1 голова;1500;;;0.00;0.00;
Ректальная диагностика;;;Услуги платные;Хирургия;Хирургия;494616;1 голова;675;;;0.00;0.00;
Удаление  беременной матки кошки (полная стоимость с учетом приема животного, без стоимости дополнительных исследований, расходных материалов и лекарственных средств) *;;;Услуги платные;Хирургия;Хирургия;49461;1 голова;4500;;;0.00;0.00;
Удаление  беременной матки собаки ( стоимость с учетом приема животного, без  стоимости дополнительных исследований, расходных материалов и лекарственных средств) *;;;Услуги платные;Хирургия;Хирургия;49462;1 голова;12000;;;0.00;0.00;
Удаление слюнной железы;;;Услуги платные;Хирургия;Хирургия;4858;1 голова;2600;;;0.00;0.00;
Уретротомия (кобеля);;;Услуги платные;Хирургия;Хирургия;4854;1 голова;8000;;;0.00;0.00;
Уретротомия (кота);;;Услуги платные;Хирургия;Хирургия;4854;1 голова;5000;;;0.00;0.00;
Химическая кастрация собак, кошек, хорьков ( с использованием импланта супрелорин);;;Услуги платные;Хирургия;Хирургия;494610;1 голова;510;;;0.00;0.00;
Хирургическая обработка раны с наложением швов (2023);;;Услуги платные;Хирургия;Хирургия;2102;1 рана;730;;;0.00;0.00;
Цистоскопия кошки,собаки мелких пород (до 10 кг);;;Услуги платные;Хирургия;Хирургия;48677;1 голова;3060;;;0.00;0.00;
Экспресс-спермограмма;;;Услуги платные;Хирургия;Хирургия;494611;1 голова;1080;;;0.00;0.00;
Эндоскопическое лечение уролитиаза собаки средних пород (от 11 до 30кг);;;Услуги платные;Хирургия;Хирургия;48694;1 голова;6150;;;0.00;0.00;
TPLO при разрыве передней крестообразной связки  собаки более 40 кг (2023);;Kошкu кopomкошертсные;Услуги платные;Хирургия;Хирургия;2243;1 голова;28000;;;0.00;0.00;
TPLO при разрыве передней крестообразной связки  собаки от 10 до 25 кг;;Kошкu кopomкошертсные;Услуги платные;Хирургия;Хирургия;2241;1 голова;22000;;;0.00;0.00;
TPLO при разрыве передней крестообразной связки  собаки от 25 до 40 кг;;Kошкu кopomкошертсные;Услуги платные;Хирургия;Хирургия;2242;1 голова;25000;;;0.00;0.00;
TPLO при разрыве передней крестообразной связки кошки, собаки до 10 кг;;Kошкu кopomкошертсные;Услуги платные;Хирургия;Хирургия;2240;1 голова;18000;;;0.00;0.00;
Адреналэктомия у хорька;;Kошкu кopomкошертсные;Услуги платные;Хирургия;Хирургия;4859;1 голова;1845;;;0.00;0.00;
Ампутация конечности кошки, собаки до 10 кг. (2023);;Kошкu кopomкошертсные;Услуги платные;Хирургия;Хирургия;2255;1 конечность;5000;;;0.00;0.00;
Ампутация конечности собаки от 10 кг *;;Кошки дпинношерстные;Услуги платные;Хирургия;Хирургия;2256;1 конечность;10000;;;0.00;0.00;
Ампутация пальца * (2023);;Кошки дпинношерстные;Услуги платные;Хирургия;Хирургия;2254;1 палец;2000;;;0.00;0.00;
Артродез. Кошки, собаки 1-9 кг (2023);;Кошки дпинношерстные;Услуги платные;Хирургия;Хирургия;2189;1 конечность;20000;;;0.00;0.00;
